Category,Description
Document_Writing,"Prepare a long, extensive report on the resolution declaring surplus land."
Document_Writing,"Submit the Consolidated Plan and annual action plan to HUD no later than August 15th, 2022."
Meeting_Planning,Schedule future public engagement meetings to gather input for the consolidated plan.
Administrative_Communication,Communicate the changes in the consolidated plan to all stakeholders and community members.
Document_Writing,Authorize city manager to execute all documents to enter into multiple contracts for various infrastructure repairs and improvements.
Meeting_Planning,Schedule a vote for the specification dash 7193 regarding infrastructure.
Administrative_Communication,Provide rules on public comment for the second public comment period.
Document_Writing,"Prepare correspondence regarding the staffing and operational plan for the Fire Department. | Develop a report on diversity recruitment results for the Fire Department. | Create a presentation outline for the Parks and Recreation initiatives, focusing on restroom maintenance and safety."
Meeting_Planning,Schedule a community budget consultation meeting. | Plan follow-up meetings to discuss budget adjustments for increased pickball facilities.
Administrative_Communication,Draft a communication to all city employees regarding support for dispatchers.
Document_Writing,"Draft resolutions to execute contracts with Arts Council for Long Beach, Modern Markets for All, and California State University Long Beach Research Foundation."
Meeting_Planning,Schedule a public presentation from staff on the status update of the economic recovery package.
Administrative_Communication,Prepare and send updates on the metrics of funds and their impact to the city council and the public.
Document_Writing,Request city attorney to draft a resolution expressing the City of Long Beach's support for the Alliance for Renewable Clean Hydrogen Energy Systems Initiative.
Meeting_Planning,Request the Port of Long Beach Harbor Commission to take action within 30 days regarding the initiative.
Administrative_Communication,Coordinate with all relevant city departments and the Port of Long Beach Harbor Commission to join the Alliance for Renewable Clean Hydrogen Energy Systems.
Document_Writing,Request City Attorney to prepare resolution to set operating days and hours for parking meters Zone one and one A.
Document_Writing,Authorize City Manager to execute all necessary documents with L.A. 84 Foundation to accept Learn to Swim 2022 Grant funds.
Document_Writing,Draft the ordinance amending the use map of the city of Long Beach.
Document_Writing,Develop a plan for creating a cultural district recognizing the historic contributions of the LGBTQ community.
Administrative_Communication,"Collaborate with local historians, neighbors, LGBTQ plus business owners, and nonprofit organizations to facilitate the creation of the cultural district."
Document_Writing,Correct the metes and bounds on the map with the city engineer and prepare it for approval by the Council.
Document_Writing,Prepare a report on the Alamitos Bay Water Quality Enhancement Project.
Meeting_Planning,Schedule a short staff report on the Alamitos Bay Water Quality Enhancement Project.
Administrative_Communication,Engage with interested parties about opportunities for input on the pumping plan and alternatives.
Document_Writing,Prepare a report on the feasibility of establishing a safe passage plan.
Meeting_Planning,Schedule a follow-up report to the city council in 60 days regarding the safe passage plan.
Administrative_Communication,Communicate the recommendations to the city manager for investigation.
Document_Writing,Draft the zoning code amendment to add the 11 parks to the dedicated parklets in the municipal code.
Meeting_Planning,Prepare and bring the remaining parks with complex boundary and land use issues for dedication and necessary actions at a future date.
Administrative_Communication,Follow up with the City Manager to ensure the dedication of Willow Springs Park as previously promised.
Document_Writing,Draft resolution calling on top maritime importers to adopt existing emissions reducing technologies.
Meeting_Planning,Coordinate with the Port of Long Beach on the green shipping corridors initiative.
Administrative_Communication,Inform the Harbor Department of City Council recommendations regarding the green shipping corridor.
Document_Writing,City manager to investigate the feasibility of establishing a Safe Passage plan and report back to the city council in 60 days.
Meeting_Planning,"Prepare a report on the current Safe Passage program updates and discuss which schools are covered under the recovery funds, particularly regarding Colin Powell Middle School."
Administrative_Communication,Send out updates to community members regarding the involvement of local organizations in Safe Passage programs and any funding opportunities available.
Document_Writing,"Provide a reopening budget, setting forth the proposed costs and expenses anticipated to be incurred during this reopening period. | Produce monthly financial reports and annual audited financial reports showing the results of operations of the asset throughout the fiscal year. | Provide an annual operating budget and capital budget prior to the beginning of each fiscal year. | Submit capital budget for city approval or disapproval within 30 days."
Administrative_Communication,Send the recommended action for approval regarding estimated pre-opening and reopening costs.
Document_Writing,Prepare the updated zoning and economic study for the Santa Fe Avenue and Willow Street corridor.
Meeting_Planning,Organize community input meetings to gather feedback on development plans for the major corridors.
Administrative_Communication,Exchange information and schedule a meeting with the attorney of the property owner to address concerns related to the moratorium.
Document_Writing,Prepare ordinance amending Section 5.24 of the Long Beach Municipal Code.
Document_Writing,Draft recommendations for appropriations increases for various organizations and events.
Administrative_Communication,Communicate the recommendations made by Councilwomen regarding fund transfers to appropriate stakeholders.
Document_Writing,Prepare the grant acceptance document for the FY 21 Port Security Grant Program.
Administrative_Communication,Inform the Police Department about the grant award and cost match transfer.
Document_Writing,Authorize the city's ballot and designate the Owners Association's District six.
Meeting_Planning,"Set the date of hearing July 19, 2022, for public hearing receipt petition."
Document_Writing,Draft the economic impact report regarding the citywide private health care minimum wage increase.
Meeting_Planning,Schedule a meeting for public input regarding the economic impact report.
Administrative_Communication,Communicate findings and recommendations from the economic impact report to the council by August 9th.
Document_Writing,Document the safety concerns and analysis regarding the 2022 Long Beach Sprint Nationals event for referral to the hearing officer.
Meeting_Planning,Arrange for the hearing officer selection process as outlined by the city clerk's office.
Administrative_Communication,Communicate the expectations and safety concerns to the appellants prior to the hearing.
Document_Writing,Prepare an update on the temporary PARKLET program to return to council prior to the June 30th sunset date.
Administrative_Communication,Request a report from Public Works to address discrepancies in the data regarding the PARKLET program. | Conduct a survey and further audit on the status of PARKLETS in Belmont Shore.
Document_Writing,Prepare a staff report for the Long Beach Guaranteed Income Pilot Program.
Meeting_Planning,Follow up on opportunities for private or endowment donations to enhance the Guaranteed Income program.
Administrative_Communication,Explore and apply for the $35 million state matching fund opportunity.
Document_Writing,Prepare the implementation plan for the Studebaker project once funding is resolved.
Administrative_Communication,Follow up with the public works director to verify the exact funding gap for the Studebaker project.
Meeting_Planning,Stay in consistent communication with residents regarding the Colorado Lagoon project and construction updates.
Document_Writing,"Draft a resolution providing for a 60 day temporary amnesty program, waiving late penalty and new pet license fees."
Document_Writing,Prepare the ordinance amending the Long Beach Municipal Code relating to the regulation of cannabis and the cannabis social equity program for final reading and adoption.
Document_Writing,Prepare an update on the impact of the direct relief grants for the recovery efforts.
Administrative_Communication,Disburse the direct relief grants for businesses and nonprofits as part of the Long Beach Recovery Act.
Document_Writing,Prepare draft charter amendment language.
Meeting_Planning,Schedule three hearings of the Charter Amendment Committee between June 14th and August 9th.
Administrative_Communication,Submit rebuttals to the clerk regarding the charter amendment. | Mail sample ballots out to the electorate for the election on November 8th.
Document_Writing,Prepare a full audit report on the funding for social equity that was appointed to assist black social equity entrepreneurs. | Create a detailed report on how the $3 million earmarked for social equity planning is intended to be expended.
Document_Writing,Write a letter of support of opposition to the Taxpayer Protection and Government Accountability Act. | Write a letter of support for Senate Bill 1226. | Write letters of support for Senate Bill 1281. | Write letters of support for Assembly Bill 2792 related to state cannabis taxes. | Add language to the state legislative agenda.
Document_Writing,"Execute all documents to accept funds from the South Coast Air Quality Management District. | Increase appropriations in the General Fund Group and the Legislative Department by $5,026.25."
Document_Writing,Finalize and execute the agreement with ASEM Global for management of the Long Beach Convention and Entertainment Center.
Administrative_Communication,Send out a press release announcing the successful agreement with ASEM Global.
Document_Writing,Request city attorney to prepare a resolution to support fair and free union elections for Starbucks workers in Long Beach.
Meeting_Planning,Add an item advocating for lower state cannabis cultivation tax to the state legislative agenda.
Administrative_Communication,Send a request to the State Legislation Committee to review and consider supporting SB 1281 and AB 2792.
Document_Writing,Draft a letter of support for the California State Legislatures' proposal to place permanent protections for abortion rights into the California Constitution.
Administrative_Communication,Send a formal position of support for the constitutional amendment regarding women's reproductive rights.
Meeting_Planning,"Convene the Charter Amendment Committee within 30 days to discuss the charter amendment. | Schedule and conduct two public hearings for the Charter Amendment Committee, one in mid-June and one in mid-July. | Vote in August regarding the possible placement of the utility consolidation on the November ballot."
Document_Writing,Prepare a staff report detailing the refunding of $9 million to the water fund and the $21.8 million return from the general fund.
Administrative_Communication,Notify ratepayers about the $100 credit and the changes in rates due to the measure M lawsuit.
Document_Writing,Draft a resolution to allow the City of Long Beach Emergency Rental Assistance Program to continue assisting eligible renters. | Execute all necessary documents with the California Department of Housing and Community Development to implement and comply with related state regulations citywide.
Document_Writing,Draft a resolution to celebrate Juneteenth in the city of Long Beach.
Meeting_Planning,Plan a Friday night concert at La Cerritos Park in partnership with the La Cerritos Neighborhood Association.
Administrative_Communication,Notify stakeholders about the plan for the upcoming Buddhists' celebration on May 15.
Document_Writing,"Provide an update on the city's Nuisance Motel Regulation and Alcohol Nuisance Abatement Ordinance, including options to strengthen the ordinances within 90 days."
Meeting_Planning,"Prepare an event action plan to receive an additional $50,000 in the Neighborhood Safe Streets Fund to conduct additional operations."
Administrative_Communication,Communicate with the City of Compton and other neighboring regions to explore partnerships for addressing human trafficking and nuisance issues.
Document_Writing,Adopt a resolution in support of legislation to enact changes to the California retail code related to sidewalk food vending. | Adopt a resolution to implement a citywide enforcement model that prioritizes education and outreach for operating without a health permit.
Document_Writing,Prepare the ordinance and resolution to establish a request for proposals for cannabis retail storefronts. | Create a report on the status of equity businesses in five years.
Meeting_Planning,Conduct a stakeholder meeting to provide details on the RFP process.
Administrative_Communication,Post the RFP on the city's procurement portal for 30 days.
Document_Writing,Draft the outreach plan for the Youth Climate Corps program.
Meeting_Planning,Schedule meetings with partner entities to engage around placements for the Youth Climate Corps.
Administrative_Communication,Share the outreach plan with council members related to the Youth Climate Corps program.
Document_Writing,Draft communication to increase appropriations in the General Fund Group for various department contributions.
Meeting_Planning,Organize the upcoming Juneteenth celebration and ensure participation of officials.
Administrative_Communication,Send thank you notes to contributors for their support of the Juneteenth celebration.
Document_Writing,Prepare the conditions and terms for the entertainment permit for the Bamboo Club.
Meeting_Planning,Schedule a follow-up to revisit the entertainment permit conditions in one year.
Administrative_Communication,Send official documentation of the approved entertainment permit conditions to the Bamboo Club.
Document_Writing,Draft a report for the recommendation to adopt specifications and award contracts for temporary shelters. | Adopt a resolution authorizing an amendment to the Memorandum of Understanding for various employee associations.
Administrative_Communication,Execute a Third Amendment with Mission Square retirement for recordkeeping services.
Document_Writing,"Prepare the agreement with business, consumer services and housing agencies for the Encampment Resolution Funding Program."
Document_Writing,Adopt specification for Long Beach Recovery Act.
Document_Writing,Prepare a brief report on the Resident ID Management Pilot System.
Administrative_Communication,Conduct community outreach to address concerns of low-income seniors regarding technology initiatives.
Document_Writing,Prepare appropriations recommendations for the Long Beach Architecture Week and East Village Earth Day events.
Document_Writing,Draft a communication regarding the increase in appropriation for donations to Kahlo Creative. | Draft a communication regarding the increase in appropriations for donations to Carlo Creative.
Meeting_Planning,Prepare for the anniversary presentation of the L.A. riots.
Document_Writing,"Authorize City Manager to grant permission to ACE and Global to operate a professional boxing contest at the Long Beach Convention Center on May 21st, 2022."
Meeting_Planning,"Prepare for the boxing event scheduled on May 21st, 2022."
Administrative_Communication,Notify stakeholders about the authorized boxing contest and its details.
Document_Writing,Draft the ordinance amending the Long Beach Municipal Code relating to prohibiting adults not accompanying children under the age of 12 from park playgrounds.
Meeting_Planning,Plan for the first reading of the ordinance at the next regular meeting of the City Council.
Administrative_Communication,Prepare graphics and signage for 'Kid Zone' areas in parks that include the municipal code related to the new ordinance.
Document_Writing,Prepare a presentation in recognition of Cambodian New Year for City Council.
Meeting_Planning,Schedule the next annual Cambodian New Year Parade and Cultural Festival.
Administrative_Communication,Send a thank you note to Council members and community leaders who supported the Cambodian New Year events.
Document_Writing,Execute agreement and necessary documents with the City of L.A. to accept grant funding.
Administrative_Communication,Refer the Business License Application Denial Appeal by JP 23 Hospitality Company to a hearing officer.
Document_Writing,Adopt a resolution amending the master fees and charges schedule to include modified summer camp programming fees.
Administrative_Communication,Highlight what the city is doing to support low-income families regarding summer programs. | Share opportunities for those who can pay full price to donate to Partners of Parks for financial aid.
Document_Writing,Prepare the agreement documentation for the grant from the Conrad Hilton Foundation.
Administrative_Communication,Get back to Councilman Austin regarding the application process for the grant.
Document_Writing,Authorize City Manager to execute an agreement with the Los Angeles Dodgers Foundation to accept grant funding.
Meeting_Planning,Prepare a brief staff report on the update on RBI.
Administrative_Communication,Provide a list of parks participating in the Dodgers Dream Team Program.
Document_Writing,Adopt a resolution authorizing city manager to execute a contract with petrochem manufacturing.
Document_Writing,Prepare a presentation for recognizing Julie Lee for her contributions during the pandemic.
Meeting_Planning,Coordinate a future meeting to discuss the progress of the Long Beach Center for Economic Inclusion and future initiatives.
Document_Writing,"Prepare a report for the City Council on the statistics and impacts of ghost guns and the feasibility of developing additional ordinances to criminalize their possession, sale, and manufacture."
Meeting_Planning,Coordinate with the police department and city prosecutor to discuss potential legislation regarding ghost guns.
Document_Writing,Amend the contract with Shri Ganesh for providing temporary lodging and emergency shelter.
Document_Writing,Draft a resolution to submit a grant application for the Land and Water Conservation Fund program for the El Dorado Duck Pond Restoration Project.
Meeting_Planning,Organize a presentation to update on the Duck Pond project and its construction timeline.
Administrative_Communication,Send information regarding wildlife preservation and costs associated with it to Councilwoman.
Meeting_Planning,Schedule a study session to review the operation of the Southeast Resource Recovery Facility.
Document_Writing,"Adopt the appeal hearing officer's recommendation to revoke the business license issued to SoCal Equity Holdings, LLC."
Administrative_Communication,Prepare and send a report on the findings and evidence related to the business license revocation.
Document_Writing,Prepare a report on the feasibility of utilizing Long Beach Recovery Act funds to support upcoming cultural events.
Meeting_Planning,Come back with a developed fund proposal within the next 30 days regarding the support for cultural events.
Document_Writing,Prepare the final contract documents for the Market Street pedestrian and streetscape project.
Meeting_Planning,Schedule a follow-up meeting to discuss the project timeline and stakeholder concerns.
Administrative_Communication,Send notifications to residents in the affected neighborhoods about the project start date.
Document_Writing,Draft a letter of support for the CARE Court Framework.
Administrative_Communication,Continue tracking the legislation related to the CARE Court program and its costs.
Document_Writing,Prepare a feasibility report on the elimination of the cannabis cultivation tax.
Meeting_Planning,Schedule a presentation of the feasibility report to the Economic Development Committee.
Administrative_Communication,Send out an email to relevant stakeholders notifying them about the upcoming presentation regarding the cannabis tax.
Document_Writing,"Request City Manager to work with the Public Works Department and Parks, Recreation and Marine Department to develop a park vision plan for Martin Luther King Jr Park and report back within 90 days."
Meeting_Planning,Prepare community meetings to facilitate the visioning process for Martin Luther King Jr Park.
Administrative_Communication,Engage with community members to gather input for the vision planning process.
Document_Writing,Embed specific communication language in the report that informs applicants about potential future funding.
Meeting_Planning,"Prepare a report back for the council regarding the status of tenant rental assistance payments, including changes to eligibility."
Administrative_Communication,Ensure that messaging regarding funding availability is included in response emails and website updates for applicants.
Administrative_Communication,Request the city manager to enter discussions with L.A. County to partner on establishing a reward for information leading to the arrest of Octavio Montano.
Document_Writing,Draft ordinance relating to COVID 19 worker recall for final reading at the next regular meeting of the City Council.
Document_Writing,Draft the communication recommending an increase of appropriations by $500 to provide a donation to the African American Heritage Society of Long Beach.
Document_Writing,Draft the ordinance relating to COVID 19 worker retention for the next regular meeting of City Council for Final Reading.
Meeting_Planning,Prepare for the final reading of ordinance 19 in the next City Council meeting.
Document_Writing,Provide a brief staff report on the Longreach Airport item.
Meeting_Planning,Schedule council briefings once a contractor is selected.
Document_Writing,Prepare a report incorporating the approximate cost for the implementation of the Freedom Villages project.
Meeting_Planning,Organize at least three public meetings to discuss the Freedom Villages project before any decisions are made.
Administrative_Communication,Ensure the Climate Action and Environmental Committee discusses the environmental impacts of the Freedom Villages project.
Document_Writing,Draft a resolution authorizing the city manager to execute an agreement with the California Governor's Office of Business and Economic Development for grant funding.
Administrative_Communication,Engage with the City prosecutor's office on an expungement program related to old drug convictions.
Document_Writing,Approve contracts for the legal services provider and community connectors related to the Long Beach Justice Fund.
Document_Writing,"Draft the ordinance relating to prohibiting spectators at street races, sideshows and reckless driving exhibitions."
Administrative_Communication,Engage the city prosecutor on how to implement diversion programs for young people involved in street racing.
Document_Writing,Submit the modified documents to comply with regulations of Senate Bill 1383 by March 1st.
Document_Writing,Prepare the proposed FY 23 budget for City Council review.
Meeting_Planning,Schedule additional community engagement sessions for further budget discussions.
Administrative_Communication,Send out the budget survey results to the council and relevant stakeholders.
Document_Writing,"Authorize City Manager to enter into an improvement and reimbursement agreement with Kilroy Realty LP. | Authorize City Manager to negotiate and amend any terms as needed for the project. | Increase appropriations by 2,600,000 for the improvement of Kilroy Airport Way."
Document_Writing,Create and finalize the documentation regarding the Charter Commission appointments.
Document_Writing,Prepare a charter amendment proposal for the Police Complaint Commission following the evaluation report.
Meeting_Planning,Schedule meetings with relevant employee labor organizations to discuss the proposed charter amendment. | Organize public hearings regarding the proposed charter amendment and any interim changes to the Police Complaint Commission.
Administrative_Communication,Send a summary of the report findings to the community and stakeholders for further feedback.
Document_Writing,Prepare for a comprehensive study on procurement processes to streamline certification for local businesses.
Administrative_Communication,"Request City Manager to work with the Financial Management Department's Purchasing Division to ensure a study of the current local preference ordinance is included in the Extreme Procurement Makeover Project and report back to City Council in no more than 180 days. | Include the Chamber, Long Beach Economic Partnership, and relevant business associations in the procurement makeover process. | Ensure that the LGBT Q plus Chamber of Commerce and disabled business owners are included in the procurement improvement process. | Develop an educational component to assist local businesses in understanding how to apply for contracts with the city."
Document_Writing,Prepare the ordinance amending and restating chapter 5.53 relating to COVID 19 worker retention.
Document_Writing,Draft the ordinance amending the Long Beach Municipal Code relating to just cause for termination of tenancies.
Document_Writing,Adopt the ordinance amending the language municipal code relating to inclusionary housing.
Document_Writing,Draft a resolution authorizing the city manager to execute a contract with the conservation corps of Long Beach for public service conservation work.
Document_Writing,Report back to council in 60 days with a formal operational policy that supports all city's approved rescue partners to receive $100 for the mandated care sterilization. | Provide a fiscal impact and how to move forward with the amendment related to local rescue organizations.
Document_Writing,Adopt resolution authorizing city manager to execute a contract with Office Depot for furnishing and delivering custodial supplies.
Document_Writing,Prepare a staff report on the lease modification for the community hospital.
Administrative_Communication,Include a community outreach component in future proposals regarding the use of the hospital site.
Document_Writing,Draft the ordinance amending the Long Beach Municipal Code relating to no net loss of affordable residential housing units in the city.
Administrative_Communication,Work with owners and HUD to enforce the policy regarding housing available to low income individuals.
Document_Writing,Prepare a resolution declaring the Long Beach Community Investment Company owned property as exempt surplus land.
Administrative_Communication,Communicate to the community regarding the forthcoming RFP process for the development of affordable housing on the property.
Document_Writing,Adopt resolution to authorize city manager to submit a notice of intent to comply with Senate Bill 1383 regulations. | Conduct a technical assessment of the Southeast Regional Recovery Facility. | Explore expansion of a civilian conservation corps in the city.
Document_Writing,"Request the city manager to work with Long Beach, Continuum of Care partners, and appropriate departments to study acquiring land and funds for expanding the Health and Human Services Department's tiny home shelters and report back within 60 days."
Administrative_Communication,Prepare and present a report on the feasibility of expanding tiny home shelters and their potential impact on homelessness in the city.
Meeting_Planning,Figure out a date for the district two nights at the aquarium.
Administrative_Communication,Consider joining the Museums and Zoos for all program.
Document_Writing,Prepare the engineering design proposal for the Shoreline Drive realignment project.
Meeting_Planning,Schedule a follow-up meeting to present the latest design proposals for the Shoemaker Bridge project to the community in the next couple of months.
Administrative_Communication,Communicate with Caltrans and local groups to secure funding applications for the Shoreline Drive realignment and Shoemaker Bridge projects.
Document_Writing,Draft the final general plan housing element document for submission.
Meeting_Planning,Schedule a follow-up meeting to evaluate progress on housing element implementation.
Administrative_Communication,Send email notifications to stakeholders regarding the new housing element and its requirements.
Document_Writing,Prepare a report on the lessons learned from the recent redistricting process to inform future commissions.
Meeting_Planning,Schedule a follow-up outreach effort to ensure better communication for the next redistricting process.
Administrative_Communication,Send out a postcard mailer with information on new district boundaries to affected residents.
Document_Writing,Develop written recommendations on how Long Beach can partner with Los Angeles County to respond to Roe versus Wade being overturned and report back within 45 days.
Meeting_Planning,Prepare a report for the council after discussions with L.A. County on expanding health care opportunities related to reproductive health.
Administrative_Communication,Draft a memo to summarize the recommendations and action points on reproductive health services to be shared with the community.
Document_Writing,Draft the agreement with FEMA to accept grant funding for the Pump Station Mitigation Project.
Document_Writing,Draft a one-year update on the implementation of the Racial Equity and Reconciliation Initiative citywide.
Document_Writing,Prepare the final recommendations and documentation for proposed fee changes to be presented to the City Council on April 12th.
Meeting_Planning,Schedule the follow-up meeting for the formal approval of fee changes on April 12th.
Administrative_Communication,Send out notifications to stakeholders regarding upcoming fee changes and the rationale behind them.
Document_Writing,Draft the ordinance amending Long Beach Municipal Code related to Temporary Enforcement of Long Beach Health Orders regarding COVID 19.
Meeting_Planning,Prepare for the final reading of the ordinance at the next regular meeting of the City Council.
Document_Writing,Adopt a resolution declaring an inclusive language policy. | Amend the Long Beach Municipal Code relating to gender references.
Meeting_Planning,Prepare the ordinance for final reading at the next regular meeting of City Council.
Document_Writing,Prepare the first reading documents for the ordinances regarding inclusionary housing and no net loss of affordable residential housing units. | Adopt a resolution amending Resolution Number E. s-21-0006 to establish automatic adjustments to the existing inclusionary housing in lieu fee citywide.
Meeting_Planning,Schedule the next regular meeting of City Council for the final reading of the ordinances.
Document_Writing,Prepare an environmental impact report for the World Oil Tank Installation Project.
Document_Writing,Adopt a resolution authorizing the city to approve the issuance of bonds by the California Community Housing Agency to finance the development of the Civic Center Mid-Block.
Administrative_Communication,Prepare and send communication regarding the engagement of local project labor agreements for the Civic Center Mid-Block project.
Document_Writing,"Draft a grant application to the U.S. Economic Development Administration for the Long Beach Tourism, Media and Training Center Project."
Document_Writing,Authorize City Manager to execute all documents necessary to amend Contract with Apple one Employment Services.
Document_Writing,Adopt a resolution approving and adopting an addendum to the program Environmental Impact Report for the City of Long Beach Downtown Plan.
Administrative_Communication,Prepare and send supporting documentation into the record. | Prepare findings to conclude the public hearing and consider the third party appeal.
Document_Writing,Prepare and provide updates on the implementation of the Racial Equity and Reconciliation Initiative.
Meeting_Planning,Schedule a follow-up meeting on February 15 to discuss changes to the Police Commission and community meeting recommendations.
Administrative_Communication,Send email notifications regarding updates and upcoming discussions related to the Racial Equity and Reconciliation Initiative.
Document_Writing,"Amend the contract with the Los Angeles County Metropolitan Transportation Authority for providing law enforcement services to increase the contract amount by $3,730,814."
Administrative_Communication,Review and bring back information on the new board motion by the MTA regarding vaccination requirements for all airline workers.
Document_Writing,Prepare an update report on the bike master plan and safe streets Long Beach action plan.
Meeting_Planning,Schedule a follow-up meeting with Councilmembers to address connectivity issues related to bicycle lanes and infrastructure.
Administrative_Communication,Send communication to all relevant stakeholders regarding the availability of grant opportunities for bicycle infrastructure projects.
Document_Writing,Adjust the effective dates referenced in the ordinance amending Chapter 8.102 to reflect the actual effective date resulting from the removal of the urgency declaration.
Administrative_Communication,"Issue a statement to the press and post it on the city website and social media, as well as mail directly to landlords, clearly stating that landlords are required to comply with the L.A. County eviction moratorium. | Conduct a concerted effort to publicize the fact that there is a county moratorium on evictions widely."
Document_Writing,Draft communication recommendations for increasing appropriations to support various programs.
Document_Writing,Direct the City Manager to report back within 180 days on piloting an innovative citywide clean parks restroom facilities initiative.
Document_Writing,Draft the recommendation to extend worker protections for two months.
Administrative_Communication,Communicate with stakeholders regarding the extension of worker protections.
Document_Writing,Direct the City Attorney to prepare a resolution to declare an inclusive language policy for all future ordinances. | Prepare an ordinance to state that all gender references in the Long Beach Municipal Code shall be considered neutral citywide.
Document_Writing,Draft the modification language for condition number 14 to allow the sale of beer or malt beverages in 22-ounce containers. | Update condition number 20 to reflect the council's decision to relieve the applicant of the onsite security guard requirement after a six-month period of good operations with zoning administrator review.
Document_Writing,City manager to report back to the City Council in 60 days with recommendations for implementing the approved accessory dwelling units program. | Provide options that ensure staff time and expenses are not significantly impacted by the study on accessory dwelling units. | Include a fee schedule with estimates for various costs associated with accessory dwelling units in the upcoming report.
Document_Writing,Adopt a resolution re declaring a shelter crisis and authorizing the operation of a winter shelter.
Document_Writing,"Increase appropriations in the General Fund group by $1,500 for Long Beach Blues Society and Carlo Creative. | Accept and expend grant funding from the Port of Long Beach and increase appropriations in the General Fund group by $6,000 for the annual community concert. | Increase appropriations in the General Fund group by $400 for the local Heart's Foundation 11th Annual Diamond Christmas Toy Drive. | Increase appropriations in the General Fund group by $400 for California Families in Focus for the 18th Annual Spirit of Christmas Brunch. | Increase appropriations in the General Fund group by $500 for the Lutheran Social Services of Southern California Holiday Toy Drive. | Increase appropriations in the General Fund group by $1,000 for the Philippine Independence Day Foundation Paw Patrol Lantern Festival. | Increase appropriations in the General Fund group by $2,500 for the Kahlo design Long Beach International Tamales Festival. | Increase appropriations in the General Fund group by $1,250 for the Washington Neighborhood Association Holiday Plaza."
Meeting_Planning,Provide a report back within 30 days outlining the process for revocation of temporary parklets and outreach efforts to the community. | Coordinate communication with businesses interested in applying for permanent parklets by January 31st.
Administrative_Communication,Document the process for the revocation of a temporary parklet for violations of the good neighbor policy and outreach this information to the community. | Investigate how documented violations and complaints are recorded and ensure they include police response.
Document_Writing,Prepare for a report or considerations regarding climate evaluation and public process in the next hearing.
Meeting_Planning,"Continue the hearing to the next regularly scheduled City Council meeting on January 18th, 2020."
Administrative_Communication,Ensure that the public understands that comments need to be focused only on the continuance and not on the merits of the hearing.
Document_Writing,Draft an annual report for the homelessness funding and strategies.
Meeting_Planning,Schedule a follow-up discussion in January on resources around homeless services.
Administrative_Communication,Develop a communications strategy for homelessness services.
Document_Writing,Prepare the ordinance amending the Long Beach Municipal Code to comply with SB 1383 for a final reading.
Meeting_Planning,Lead the discussion on the ordinance at the next regular meeting of City Council.
Meeting_Planning,Schedule a follow-up to ensure all rules are being followed for the entertainment permit.
Administrative_Communication,Authorize the city attorney to initiate litigation in the national prescription opioid litigation.
Document_Writing,"Adopt the resolution containing the Fourth Street Parking and Business Improvement Area Assessment Levy for the period of October 1st, 2021 through September 30th, 2022."
Administrative_Communication,Conclude the public hearing and ensure that the supporting documentation is entered into the record.
Document_Writing,Draft a resolution to submit a consolidated local coastal program amendment for four previously approved ordinances to the California Coastal Commission.
Administrative_Communication,Submit a consolidated package of amendments to the Coastal Commission in accordance with the Coastal Act requirements.
Document_Writing,Prepare a new RFP for airport parking operations and management services.
Document_Writing,Prepare a petition to Caltrans for installing signage indicating the pedestrian crosswalk at the specified intersection.
